article_title,author,summary,supporting_sentence_or_paragraph,paper_reference,doi_number,publisher,access_url,abstract
AI-Ready Multimodal Data Pipeline to Enrich Cancer Care,"Rashid R, Hashtarkhani S, Kumsa FA, Chinthala L, White BM, Zink JA, et al.","This paper describes a comprehensive approach for integrating multiple data modalities including structured EHR data, clinical notes, and social determinants information to improve cancer care prediction models.","Multimodal data integration approaches further extend these capabilities, enabling simultaneous incorporation of structured clinical data, unstructured documentation, community-level indicators, and even non-traditional sources.","Rashid R, Hashtarkhani S, Kumsa FA, Chinthala L, White BM, Zink JA, et al. AI-ready multimodal data pipeline to enrich cancer care. 2024 IEEE International Conference on Big Data (Big Data). 2024:8814-8822.",10.1109/BigData62323.2024.10825353,IEEE,https://ieeexplore.ieee.org/document/10825353,"This study reports on the progress in designing and developing a framework for integrating heterogeneous datasets—structured, semi-structured, and unstructured—into an AI-ready multimodal data pipeline aimed at predicting radiation therapy interruptions (RTI) and enhancing patient care navigation. The AI-Ready dataset incorporates a broad set of information, including patient demographics, health data, clinical notes, medical imaging, and data on social determinants of health. Preliminary results indicate that this pipeline effectively integrates diverse distributed data sources, providing a foundation for training AI models capable of generating reliable and actionable predictions."
"The association between income and life expectancy in the United States, 2001-2014","Chetty R, Stepner M, Abraham S, Lin S, Scuderi B, Turner N, et al.","This groundbreaking study quantified the relationship between income and life expectancy across the United States, demonstrating substantial disparities based on socioeconomic status.","In the United States, comprehensive analyses of population health data reveal substantial life expectancy gaps between socioeconomic groups, with individuals in the lowest income quartile experiencing mortality rates significantly higher than those in higher-income brackets.","Chetty R, Stepner M, Abraham S, et al. The association between income and life expectancy in the United States, 2001-2014. JAMA. 2016;315(16):1750-1766.",10.1001/jama.2016.4226,American Medical Association,https://jamanetwork.com/journals/jama/fullarticle/2513561,"Importance: The relationship between income and life expectancy is well established but remains poorly understood. Objectives: To measure the level, time trend, and geographic variability in the association between income and life expectancy and to identify factors related to small area variation. Design and Setting: Income data for the US population were obtained from 1.4 billion deidentified tax records between 1999 and 2014. Mortality data were obtained from Social Security Administration death records. These data were used to estimate race- and ethnicity-adjusted life expectancy at 40 years of age by household income percentile, sex, and geographic area, and to evaluate factors associated with differences in life expectancy. Exposure: Pretax household earnings as a measure of income. Main Outcomes and Measures: Relationship between income and life expectancy; trends in life expectancy by income group; geographic variation in life expectancy levels and trends by income group; and factors associated with differences in life expectancy across areas. Results: The sample consisted of 1,408,287,218 person-year observations for individuals aged 40 to 76 years (mean age, 53.0 years; median household earnings among working individuals, $61,175 per year). There were 4,114,380 deaths among men (mortality rate, 596.3 per 100,000) and 2,694,808 deaths among women (mortality rate, 375.1 per 100,000). The analysis yielded 4 results. First, higher income was associated with greater longevity throughout the income distribution. The gap in life expectancy between the richest 1% and poorest 1% of individuals was 14.6 years (95% CI, 14.4 to 14.8 years) for men and 10.1 years (95% CI, 9.9 to 10.3 years) for women. Second, inequality in life expectancy increased over time. Between 2001 and 2014, life expectancy increased by 2.34 years for men and 2.91 years for women in the top 5% of the income distribution, but by only 0.32 years for men and 0.04 years for women in the bottom 5% (P < .001 for the differences for both sexes). Third, life expectancy for low-income individuals varied substantially across local areas. In the bottom income quartile, life expectancy differed by approximately 4.5 years between areas with the highest and lowest longevity. Changes in life expectancy between 2001 and 2014 ranged from gains of more than 4 years to losses of more than 2 years across areas. Fourth, geographic differences in life expectancy for individuals in the lowest income quartile were significantly correlated with health behaviors such as smoking (r = −0.69, P < .001), but were not significantly correlated with access to medical care, physical environmental factors, income inequality, or labor market conditions. Life expectancy for low-income individuals was positively correlated with the local area fraction of immigrants (r = 0.72, P < .001), fraction of college graduates (r = 0.42, P < .001), and government expenditures (r = 0.57, P < .001). Conclusions and Relevance: In the United States between 2001 and 2014, higher income was associated with greater longevity, and differences in life expectancy across income groups increased over time. However, the association between life expectancy and income varied substantially across areas; differences in longevity across income groups decreased in some areas and increased in others. The differences in life expectancy were correlated with health behaviors and local area characteristics."
The burden of chronic disease,Hacker K,"This paper examines the substantial global economic burden of chronic diseases, with projections for future costs if current trends continue.","As chronic disease prevalence continues to rise globally, these costs are projected to increase substantially, with estimates suggesting worldwide costs could reach $47 trillion by 2030 if current trends continue.",Hacker K. The burden of chronic disease. Mayo Clin Proc Inn Qual Out. 2024;8(1):112-119.,10.1016/j.mayocpiqo.2023.08.005,Elsevier,https://www.sciencedirect.com/science/article/pii/S2542454823000577,"Chronic diseases like diabetes, heart disease, stroke, and cancer have been and continue to be some of the major causes of worldwide morbidity and mortality. A transition between infectious and non-communicable diseases occurred in the early 1900s as a result of improved public health and has persisted ever since. Now, as individuals live longer, the prevalence and cost of chronic disease continue to grow. The estimated cost of chronic disease is expected to reach $47 trillion worldwide by 2030. Individual lifestyle and behaviors and community factors play important roles in the development and management of chronic diseases. Many of these conditions (diabetes, heart disease, and respiratory diseases) are preventable, and their leading risk factors are physical inactivity, poor nutrition, tobacco use, and excessive alcohol. Unfortunately, the investment in prevention remains small compared with treatment, both from a lifestyle perspective and a social determinants of health perspective. Given the future trajectory of chronic disease, innovation in technology and pharmaceuticals with a concomitant investment in prevention will be required. Our future depends on it."
"Virtual avatars, gaming, and social media: designing a mobile health app to help children with autism manage anxiety","Hswen Y, Murti V, Vormawor AA, Bhattacharya R, Naslund JA","This study describes the development and evaluation of a mobile health application using virtual avatars and gaming elements to help children with autism manage anxiety, highlighting the potential of digital interventions for addressing social determinants of mental health.","Mobile health applications specifically designed to address social needs have proliferated in recent years, collecting structured SDOH data while simultaneously connecting users to community resources.","Hswen Y, Murti V, Vormawor AA, Bhattacharya R, Naslund JA. Virtual avatars, gaming, and social media: designing a mobile health app to help children with autism manage anxiety. JMIR Ment Health. 2020;7(2):e14795.",10.2196/14795,JMIR Publications,https://mental.jmir.org/2020/2/e14795,"BACKGROUND: Many children with autism spectrum disorder (ASD) experience elevated levels of anxiety. Digital interventions delivered via mobile apps offer a promising approach to increase access to evidence-based mental health interventions for children with ASD. OBJECTIVE: This study aimed to understand the perspectives of children with ASD toward a mobile health (mHealth) app that integrates evidence-based strategies to help them cope with anxiety. METHODS: We conducted six participatory design sessions with 20 children with ASD, aged 13 to 17 years, to inform the design and development of Exposure Anxiety Manager, a mobile app to help overcome anxiety symptoms through gradual exposure to anxiety-inducing situations. Participatory design involved engaging users with design materials including sketches and wireframes to elicit feedback. Sessions were conducted at a residential summer camp for children with ASD. Sessions were audio recorded, and transcripts were analyzed using content analysis. RESULTS: Overall, 5 major themes emerged as important considerations for designing a mobile app for children with ASD: (1) social identity, including using avatars for self-representation; (2) gaming elements, including unlocking special features, point systems, and reward incentives; (3) customization, including personalization options for the app's look, feel, and functionality; (4) social motivations, including opportunities to connect socially with peers in person or online; and (5) emotional understanding, including identifying feelings and coping strategies. CONCLUSIONS: These five themes represent features that may increase engagement and continued use of a mobile app for managing anxiety among children with ASD. These findings provide insights for the design and development of future mHealth interventions targeting anxiety and other mental health concerns among children with ASD."
The COVID-19 pandemic and health inequalities,"Bambra C, Riordan R, Ford J, Matthews F","This paper analyzes how the COVID-19 pandemic exacerbated existing health inequalities, particularly highlighting the impact of social determinants on infection rates, disease severity, and mortality.","Population-level analyses conducted during the pandemic revealed that communities with adverse social determinant profiles experienced significantly higher rates of infection, hospitalization, and mortality compared to more advantaged areas.","Bambra C, Riordan R, Ford J, Matthews F. The COVID-19 pandemic and health inequalities. J Epidemiol Community Health. 2020;74(11):964-968.",10.1136/jech-2020-214401,BMJ Publishing Group,https://jech.bmj.com/content/74/11/964,"This essay examines the implications of the COVID-19 pandemic for health inequalities. It outlines historical and contemporary evidence of inequalities in pandemics—drawing on international research into the Spanish influenza pandemic of 1918, the H1N1 outbreak of 2009 and the emerging international estimates of socio-economic, ethnic and geographical inequalities in COVID-19 infection and mortality rates. It then examines how these inequalities in COVID-19 are related to existing inequalities in chronic diseases and the social determinants of health, arguing that we are experiencing a syndemic pandemic. It then explores the potential consequences for health inequalities of the lockdown measures implemented internationally as a response to the COVID-19 pandemic, focusing on the likely unequal impacts of the economic crisis. The essay concludes by reflecting on the longer-term public health policy responses needed to ensure that the COVID-19 pandemic does not increase health inequalities for future generations."
Uses of social determinants of health data to address cardiovascular disease and health equity: A scoping review,"McNeill E, Lindenfeld Z, Mostafa L, Zein D, Silver D, Pagán J, et al.","This scoping review examines how SDOH data are being utilized to address cardiovascular disease and improve health equity, identifying both current applications and gaps in implementation.","In this field, models incorporating neighborhood disadvantage indices, food access metrics, and transportation barriers have demonstrated significant improvements in predicting adverse outcomes compared to traditional risk calculators based solely on clinical parameters.","McNeill E, Lindenfeld Z, Mostafa L, et al. Uses of social determinants of health data to address cardiovascular disease and health equity: A scoping review. J Am Heart Assoc. 2023;12:e030571.",10.1161/JAHA.123.030571,American Heart Association,https://www.ahajournals.org/doi/10.1161/JAHA.123.030571,"Background: Cardiovascular disease is the leading cause of morbidity and mortality worldwide. Prior research suggests that social determinants of health have a compounding effect on health and are associated with cardiovascular disease. This scoping review explores what and how social determinants of health data are being used to address cardiovascular disease and improve health equity. Methods and Results: After removing duplicate citations, the initial search yielded 4110 articles for screening, and 50 studies were identified for data extraction. Most studies relied on similar data sources for social determinants of health, including geocoded electronic health record data, national survey responses, and census data, and largely focused on health care access and quality, and the neighborhood and built environment. Most focused on developing interventions to improve health care access and quality or characterizing neighborhood risk and individual risk. Conclusions: Given that few interventions addressed economic stability, education access and quality, or community context and social risk, the potential for harnessing social determinants of health data to reduce the burden of cardiovascular disease remains unrealized."
Leveraging artificial intelligence and data science for integration of social determinants of health in emergency medicine: Scoping review,"Abbott EE, Apakama D, Richardson LD, Chan L, Nadkarni GN","This scoping review examines the application of AI and data science methods for integrating SDOH data in emergency medicine contexts, highlighting the potential for improved patient outcomes and resource allocation.","Emergency medicine represents another domain with substantial SDOH-AI adoption, where predictive models have demonstrated particular utility in identifying patients at risk for frequent emergency department utilization, hospital readmission, and adverse post-discharge outcomes.","Abbott EE, Apakama D, Richardson LD, Chan L, Nadkarni GN. Leveraging artificial intelligence and data science for integration of social determinants of health in emergency medicine: Scoping review. JMIR Med Inform. 2024;12:e57124.",10.2196/57124,JMIR Publications,https://medinform.jmir.org/2024/1/e57124,"Background: Social determinants of health (SDOH) are critical drivers of health disparities and patient outcomes. However, accessing and collecting patient-level SDOH data can be operationally challenging in the emergency department (ED) clinical setting, requiring innovative approaches. Objective: This scoping review examines the potential of AI and data science for modeling, extraction, and incorporation of SDOH data specifically within EDs, further identifying areas for advancement and investigation. Methods: We conducted a standardized search for studies published between 2015 and 2022, across Medline (Ovid), Embase (Ovid), CINAHL, Web of Science, and ERIC databases. We focused on identifying studies using AI or data science related to SDOH within emergency care contexts or conditions. Two specialized reviewers in emergency medicine (EM) and clinical informatics independently assessed each article, resolving discrepancies through iterative reviews and discussion. We then extracted data covering study details, methodologies, patient demographics, care settings, and principal outcomes. Results: Of the 1047 studies screened, 26 met the inclusion criteria. Notably, 9 out of 26 (35%) studies were solely concentrated on ED patients. Conditions studied spanned broad EM complaints and included sepsis, acute myocardial infarction, and asthma. The majority of studies (n=16) explored multiple SDOH domains, with homelessness/housing insecurity and neighborhood/built environment predominating. Machine learning (ML) techniques were used in 23 of 26 studies, with natural language processing (NLP) being the most commonly used approach (n=11). Rule-based NLP (n=5), deep learning (n=2), and pattern matching (n=4) were the most commonly used NLP techniques. NLP models in the reviewed studies displayed significant predictive performance with outcomes, with F1-scores ranging between 0.40 and 0.75 and specificities nearing 95.9%. Conclusions: Although in its infancy, the convergence of AI and data science techniques, especially ML and NLP, with SDOH in EM offers transformative possibilities for better usage and integration of social data into clinical care and research. With a significant focus on the ED and notable NLP model performance, there is an imperative to standardize SDOH data collection, refine algorithms for diverse patient groups, and champion interdisciplinary synergies. These efforts aim to harness SDOH data optimally, enhancing patient care and mitigating health disparities. Our research underscores the vital need for continued investigation in this domain."
Ensuring fairness in machine learning to advance health equity,"Rajkomar A, Hardt M, Howell MD, Corrado G, Chin MH","This paper addresses the critical issue of algorithmic fairness in healthcare machine learning models, providing a framework for evaluating and mitigating bias in predictive systems.","Without careful implementation, SDOH-enhanced prediction systems risk perpetuating or even amplifying existing health disparities through several mechanisms.","Rajkomar A, Hardt M, Howell MD, Corrado G, Chin MH. Ensuring fairness in machine learning to advance health equity. Ann Intern Med. 2018;169(12):866-872.",10.7326/M18-1990,American College of Physicians,https://www.acpjournals.org/doi/10.7326/M18-1990,"Machine learning is used increasingly in clinical care to improve diagnosis, treatment selection, and health system efficiency. Because machine-learning models learn from historically collected data, populations that have experienced human and structural biases in the past—called protected groups—are vulnerable to harm by incorrect predictions or withholding of resources. This article describes how model design, biases in data, and the interactions of model predictions with clinicians and patients may exacerbate health care disparities. Rather than simply guarding against these harms passively, machine-learning systems should be used proactively to advance health equity. For that goal to be achieved, principles of distributive justice must be incorporated into model design, deployment, and evaluation. The article describes several technical implementations of distributive justice—specifically those that ensure equality in patient outcomes, performance, and resource allocation—and guides clinicians as to when they should prioritize each principle. Machine learning is providing increasingly sophisticated decision support and population-level monitoring, and it should encode principles of justice to ensure that models benefit all patients."
Opportunities and challenges in developing risk prediction models with electronic health records data: a systematic review,"Goldstein BA, Navar AM, Pencina MJ, Ioannidis JP","This systematic review examines methodological considerations for developing clinical prediction models using EHR data, highlighting both advantages and limitations of these approaches.","These conventional models typically rely on well-established statistical methods applied to structured medical data, generating risk scores that clinicians can easily interpret and incorporate into decision-making processes.","Goldstein BA, Navar AM, Pencina MJ, Ioannidis JP. Opportunities and challenges in developing risk prediction models with electronic health records data: a systematic review. J Am Med Inform Assoc. 2017;24(1):198-208.",10.1093/jamia/ocw042,Oxford University Press,https://academic.oup.com/jamia/article/24/1/198/2631456,"OBJECTIVE: Electronic health records (EHR) provide great promise for identifying patients at risk for disease or adverse health events. While many risk models have been developed utilizing EHR data, there remains a significant knowledge gap regarding the usefulness of this approach. In this review, we discuss the motivations for using EHR data for risk modeling, approaches to implement such a strategy, and the current state of the literature. MATERIALS AND METHODS: We performed a non-exhaustive literature review of methodologies commonly used to develop risk prediction models with EHR data, purposefully sampling papers that both highlight and address the challenges in developing such models. RESULTS: EHR systems offer many opportunities for improving risk prediction, but also some impediments. A common perception is that the EHR contains more variables than traditional research datasets, but many important predictors are not available or are not well documented. The evolving nature of health record data, such as medication changes, requires development of meaningful representation of this information at a specific time point. There are limitations to data sharing and validation opportunities. Traditional regression approaches have been enhanced with machine learning-based approaches to generate variables, but few studies have compared these approaches. We discuss these methodological challenges with examples from the literature. DISCUSSION: Risk models that make use of EHR data present both opportunities and challenges. Issues specific to EHR data include handling of missing data with both principled and pragmatic considerations. It is critical to understand determinants of missingness, which often reflects complex, potentially informative relationships. Time-varying variables, such as vital signs and lab values, can be represented in novel ways within this framework. CONCLUSIONS: As EHR adoption increases, the secondary use of health record data presents an opportunity to further the application of prediction models. Methodological challenges particular to using EHR data for risk models will benefit from further research."
Dissecting racial bias in an algorithm used to manage the health of populations,"Obermeyer Z, Powers B, Vogeli C, Mullainathan S","This influential study demonstrated how algorithmic bias in a widely-used healthcare algorithm resulted in significant racial disparities in care allocation, highlighting the importance of careful algorithm design and evaluation.","The inclusion of variables correlated with race or socioeconomic status without appropriate safeguards may create 'algorithmic redlining' effects, whereby predictive systems inadvertently direct resources away from historically marginalized communities that would benefit most from intervention.","Obermeyer Z, Powers B, Vogeli C, Mullainathan S. Dissecting racial bias in an algorithm used to manage the health of populations. Science. 2019;366(6464):447-453.",10.1126/science.aax2342,American Association for the Advancement of Science,https://www.science.org/doi/10.1126/science.aax2342,
Integrating data on social determinants of health into electronic health records,"Cantor MN, Thorpe L","This paper addresses the practical challenges and opportunities of integrating SDOH data into electronic health records, providing guidance for implementation and data standards.","Most commercial EHR platforms were developed primarily to support clinical documentation and billing processes, with social factor documentation capabilities added as secondary features rather than core functionalities.","Cantor MN, Thorpe L. Integrating data on social determinants of health into electronic health records. Health Aff (Millwood). 2018;37(4):585-590.",10.1377/hlthaff.2017.1252,Project HOPE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1252,
